time;work;work cumulative
0;0.0;0.0
1;1600000.0;1600000.0
2;0.0;1600000.0
3;1600000.0;3200000.0
4;0.0;3200000.0
5;1600000.0;4800000.0
6;0.0;4800000.0
7;1600000.0;6400000.0
8;0.0;6400000.0
9;1600000.0;8000000.0
10;1596800.0;9596800.0
11;3200.0;9600000.0
12;1600000.0;1.12E7
13;0.0;1.12E7
14;1600000.0;1.28E7
15;0.0;1.28E7
16;1600000.0;1.44E7
17;0.0;1.44E7
18;1600000.0;1.6E7
19;1596800.0;1.75968E7
20;3200.0;1.76E7
21;1600000.0;1.92E7
22;0.0;1.92E7
23;1600000.0;2.08E7
24;0.0;2.08E7
25;1600000.0;2.24E7
26;0.0;2.24E7
27;1600000.0;2.4E7
28;1596800.0;2.55968E7
29;3200.0;2.56E7
30;1600000.0;2.72E7
31;0.0;2.72E7
32;1600000.0;2.88E7
33;0.0;2.88E7
34;1600000.0;3.04E7
35;0.0;3.04E7
36;1600000.0;3.2E7
37;1598400.0;3.35984E7
38;1600.0;3.36E7
39;1600000.0;3.52E7
40;0.0;3.52E7
41;1600000.0;3.68E7
42;0.0;3.68E7
43;1600000.0;3.84E7
44;0.0;3.84E7
45;1600000.0;4.0E7
46;1598400.0;4.15984E7
47;1600.0;4.16E7
48;1600000.0;4.32E7
49;0.0;4.32E7
50;1600000.0;4.48E7
51;0.0;4.48E7
52;1600000.0;4.64E7
53;0.0;4.64E7
54;1600000.0;4.8E7
55;1598400.0;4.95984E7
56;1600.0;4.96E7
57;1600000.0;5.12E7
58;0.0;5.12E7
59;1600000.0;5.28E7
60;0.0;5.28E7
61;1600000.0;5.44E7
62;0.0;5.44E7
63;1600000.0;5.6E7
64;1596800.0;5.75968E7
65;3200.0;5.76E7
66;1600000.0;5.92E7
67;0.0;5.92E7
68;1600000.0;6.08E7
69;0.0;6.08E7
70;1600000.0;6.24E7
71;0.0;6.24E7
72;1600000.0;6.4E7
73;1596800.0;6.55968E7
74;3200.0;6.56E7
75;1600000.0;6.72E7
76;0.0;6.72E7
77;1600000.0;6.88E7
78;0.0;6.88E7
79;1600000.0;7.04E7
80;0.0;7.04E7
81;1600000.0;7.2E7
82;1596800.0;7.35968E7
83;3200.0;7.36E7
84;1600000.0;7.52E7
85;0.0;7.52E7
86;1600000.0;7.68E7
87;0.0;7.68E7
88;1600000.0;7.84E7
89;0.0;7.84E7
90;1600000.0;8.0E7
91;1596800.0;8.15968E7
92;3200.0;8.16E7
93;1600000.0;8.32E7
94;0.0;8.32E7
95;1600000.0;8.48E7
96;0.0;8.48E7
97;1600000.0;8.64E7
98;0.0;8.64E7
99;1600000.0;8.8E7
100;1596800.0;8.95968E7
101;3200.0;8.96E7
102;1600000.0;9.12E7
103;0.0;9.12E7
104;1600000.0;9.28E7
105;0.0;9.28E7
106;1600000.0;9.44E7
107;0.0;9.44E7
108;1600000.0;9.6E7
109;1596800.0;9.75968E7
110;3200.0;9.76E7
111;1600000.0;9.92E7
